"Day","Susceptible","New Infections","Exposed","Infected","Hospitalized","Critical","Recovered","Dead","date","Cases"
1,18811366.2128753,0,0,0,0,0,0,0,2020-04-01,0
2,18811366.2128753,0,0,0,0,0,0,0,2020-04-02,0
3,18811366.2128753,0,0,0,0,0,0,0,2020-04-03,0
4,18811366.2128753,0,0,0,0,0,0,0,2020-04-04,0
5,18811366.2128753,0,0,0,0,0,0,0,2020-04-05,0
6,18811366.2128753,0,0,0,0,0,0,0,2020-04-06,0
7,18811366.2128753,0,0,0,0,0,0,0,2020-04-07,0
8,18811366.2128753,0,0,0,0,0,0,0,2020-04-08,0
9,18811366.2128753,0,0,0,0,0,0,0,2020-04-09,0
10,18811366.2128753,0,0,0,0,0,0,0,2020-04-10,0
11,18811366.2128753,0,0,0,0,0,0,0,2020-04-11,0
12,18811366.2128753,0,0,0,0,0,0,0,2020-04-12,0
13,18811366.2128753,0,1,0,0,0,0,0,2020-04-13,0
14,18811366.0654279,0.147447379243084,3.86173309324308,0.285714286,0,0,0,0,2020-04-14,0.147447379243084
15,18811365.4418739,0.623553967806851,3.38193474759142,1.30743394623403,0.000944680818215892,0,0.0806879724062739,0,2020-04-15,0.624498648625067
16,18811364.6857713,0.756102580993231,4.17177025687798,1.90014846150028,0.00502925855382742,0.0000329853440828384,0.450122965766998,0,2020-04-16,0.761164824891141
17,18811363.7449173,0.94085399534291,6.92068989192096,2.54918326082866,0.010042276319188,0.000205424907457295,0.987836214914407,0.000000854495407242211,2020-04-17,0.951101696569555
18,18811362.2960376,1.44887974947896,8.3922296703023,3.79818515667546,0.015969389418408,0.000536634674483114,1.70991052965396,0.00000629214042328193,2020-04-18,1.46538577357185
19,18811360.4028266,1.8932109926733,13.8876607547772,5.11076930473857,0.0245256636577107,0.00104607262006861,2.78602585439245,0.0000210153523696202,2020-04-19,1.91878272895108
20,18811357.485216,2.91761060576733,13.8373682837831,7.61845257868585,0.0352215151563843,0.00181132266338745,4.23475485914362,0.0000507118733032178,2020-04-20,2.9546434435871
21,18811354.0875617,3.39765430909879,14.2814887935618,9.3952856390619,0.0514690122081321,0.00288512002336747,6.39408129794635,0.000103717602937415,2020-04-21,3.45200844133029
22,18811350.2186626,3.86889909001715,15.0699625099094,10.7913436846008,0.069379649187863,0.00443572743970524,9.0589005415342,0.000190557749641418,2020-04-22,3.94271446664472
23,18811345.8879609,4.33070168116282,15.0949606125067,12.01380620734,0.0872106690389589,0.00647911853277873,12.1221307839351,0.000326960230859395,2020-04-23,4.42439146873456
24,18811341.2510145,4.6369464288346,16.4190611477408,12.894136038268,0.104331814937148,0.00897013347166294,15.5348311711981,0.000530474803346578,2020-04-24,4.75024837724341
25,18811336.1818959,5.06911854232095,22.7970193574447,13.9012574991245,0.119664589199038,0.0118474911764711,19.2003716422313,0.000818743564003403,2020-04-25,5.20063062269646
26,18811329.906874,6.27502197590361,28.5586072247078,16.4429037469005,0.13400648850471,0.0150173843569114,23.1542575872818,0.00120886689193262,2020-04-26,6.42404584876523
27,18811322.2809992,7.62587473470483,35.0248798870508,19.9045333154499,0.152899474476611,0.018422629097943,27.8294243748716,0.00171635240157033,2020-04-27,7.79719683827939
28,18811313.0418262,9.23917300082547,46.2569443387118,24.2246323402274,0.178357007026908,0.0222124607100049,33.4865473894348,0.00235549806303776,2020-04-28,9.43974246856238
29,18811301.3707336,11.6710925996847,53.7117671141197,30.5195786318036,0.211660615327,0.0266000985840236,40.3693907995109,0.00314437451340269,2020-04-29,11.9093533135958
30,18811287.419519,13.9512146690916,66.3167625924023,37.145918204806,0.257387216780328,0.0318290518874698,49.0373514883173,0.00410774875680021,2020-04-30,14.2404309377594
31,18811269.8908995,17.5286195032829,77.8977356217655,45.4804451810252,0.313455214474915,0.0382825462944342,59.5867780379649,0.00527920470816573,2020-05-01,17.8803572640523
32,18811248.8424387,21.0484607313774,97.6897004389535,54.7425281733559,0.38289698904061,0.0462360129999164,72.5023691371071,0.00670578615354907,2020-05-02,21.477593733418
33,18811223.0349208,25.8075178838721,107.585875312356,67.0131488329401,0.465578078284305,0.0560454123444871,88.0488603883089,0.00844639724878978,2020-05-03,26.3291413745009
34,18811193.2318183,29.8031025068746,125.650156270676,78.6053564100797,0.567543842851735,0.0680437569410157,107.079382507221,0.0105741405882778,2020-05-04,30.4386901066673
35,18811158.2183232,35.0134951754439,141.763606761455,92.0467278122628,0.681242447647061,0.0827383369452169,129.407059928954,0.0131768165364592,2020-05-05,35.7774759600362
36,18811117.854635,40.3636881956302,164.623407270451,106.25155038338,0.809605643762238,0.100325320832212,155.556988903092,0.0163627779138742,2020-05-06,41.2736191602247
37,18811070.8858004,46.9688345913775,186.556982594665,122.929223796364,0.951287287700354,0.121086876478093,185.748240889972,0.020253445630392,2020-05-07,48.0412087555559
38,18811016.3198276,54.5659727660413,203.820960280357,141.1085834712,1.11103925560197,0.145241132774358,220.682239049353,0.0249844675638907,2020-05-08,55.8222531544176
39,18810954.9889984,61.3308292078862,219.917229349907,159.026405434592,1.2890827162038,0.173167903109719,260.787287193628,0.0307042672962603,2020-05-09,62.7930798271997
40,18810887.1394074,67.8495910454911,236.933326232591,176.423783713508,1.47974032454588,0.205238007287537,305.993801048805,0.0375785834907477,2020-05-10,69.5345693773245
41,18810812.6782446,74.4611627518997,271.699252850341,193.712224450534,1.67752845224088,0.241612738683182,356.158219767769,0.0457924025595059,2020-05-11,76.3803039428238
42,18810728.9661584,83.7120862251055,302.782981040578,215.994232587047,1.87965310561746,0.282255303563994,411.252048323901,0.0555465265258417,2020-05-12,85.8739946342869
43,18810635.6089403,93.3572181029626,332.63077590258,240.791017884281,2.10132499926299,0.327029422456832,472.686733911306,0.0670528703088331,2020-05-13,95.7855725246824
44,18810532.2328523,103.376087998439,354.969499262387,267.030948772892,2.3459342728185,0.376343504782606,541.176767430884,0.0805297448699667,2020-05-14,106.09836577604
45,18810414.0891954,118.14365683443,378.693299063287,292.156248937873,2.61250691170286,0.430700283693745,617.1347115059,0.0962131206073527,2020-05-15,121.186864029827
46,18810286.1708029,127.918392534994,412.413606043429,316.881120427002,2.89129174627061,0.49053996640018,700.251153848253,0.114360326703216,2020-05-16,131.300224247665
47,18810146.9740484,139.19675448058,449.777901536626,344.176116344705,3.17654370387262,0.55593662615687,790.417077894719,0.135250732558757,2020-05-17,142.92923481061
48,18809995.4741093,151.499939099369,482.76986863988,374.34805500114,3.47398835452301,0.62680977759792,888.360865883594,0.159178281272599,2020-05-18,155.60073723149
49,18809831.9059814,163.568127936371,515.403748255494,405.325716071757,3.78911484101715,0.703276865198691,994.898585778715,0.186452062196006,2020-05-19,168.060519642587
50,18809656.1848994,175.721081999456,553.866616320408,436.776582441419,4.1189659262046,0.785611980609734,1110.26280145504,0.217397750156366,2020-05-20,180.625659906271
51,18809467.2842723,188.900627040066,589.519638539253,470.23087786887,4.46017388966887,0.873933452333311,1234.59162163901,0.252357524764686,2020-05-21,194.234734382068
52,18809265.3148978,201.969374557579,628.054830488611,504.313380951633,4.81549340122828,0.968196614902648,1368.45439239995,0.291683615154385,2020-05-22,207.75306457371
53,18809049.6985033,215.616394535233,666.22698756194,539.668080854696,5.18241047310216,1.06842494110873,1512.03273742504,0.335730750824874,2020-05-23,221.867229949444
54,18808820.2622319,229.436271365521,710.31269086227,575.827768521497,5.56129215451835,1.17453164661896,1665.68950594911,0.384854238224432,2020-05-24,236.172095166658
55,18808575.8832842,244.378947727091,753.745155282909,614.252032085856,5.95084825198461,1.28643294280831,1829.6557169469,0.439405588871523,2020-05-25,251.616228921884
56,18808316.2295418,259.653742328648,800.043138743942,654.107210182012,6.35519976576098,1.40399315931856,2004.57406065894,0.499730918003385,2020-05-26,267.412935253727
57,18808040.5382313,275.69131049382,847.150695082338,695.803189812831,6.77468896079835,1.52722448924002,2190.85267698169,0.566168594896049,2020-05-27,283.993223943859
58,18807748.2862102,292.252021090714,898.359660193197,739.045334218789,7.21100248802248,1.65615074028281,2389.01546527142,0.639052100793802,2020-05-28,301.119174319019
59,18807427.3919619,320.894248383801,962.579719693696,784.563713114139,7.66439157714075,1.79085573516847,2599.50352220938,0.71871106678105,2020-05-29,330.34949569611
60,18807085.3037391,342.088222810215,1030.64516517355,835.425429330588,8.13756069886736,1.93142852896098,2822.96407877366,0.805473700900096,2020-05-30,352.157212038043
61,18806720.2681119,365.035627178261,1103.2107448649,891.202496770068,8.64175554386478,2.07805105901377,3060.91204700637,0.899668140567355,2020-05-31,375.75543378114
62,18806330.4620409,389.806071008686,1178.81374559698,951.776282000592,9.18434552150138,2.23142055724047,3314.74341476176,1.00162595539858,2020-06-01,401.221837087427
63,18805914.316436,416.145604909898,1258.15542285665,1016.64412880729,9.77066162649849,2.39248211573483,3585.82203497615,1.11170892104994,2020-06-02,428.308748652131
64,18805470.2363129,444.080123017076,1343.76256755521,1085.64735574754,10.4030690532159,2.56229875269516,3875.3709503607,1.23032085108899,2020-06-03,457.045490822987
65,18804996.2178639,474.018449063171,1433.84885407582,1159.3945591949,11.0827315805027,2.74192695239773,4184.56902671731,1.35791286268591,2020-06-04,487.843107596072
66,18804472.9912294,523.226634456786,1547.40438695841,1237.81007209644,11.8124899073661,2.93237152662881,4514.76734060713,1.49498474442044,2020-06-05,537.971495890781
67,18803911.2356445,561.755584914771,1667.04443230009,1326.26559071689,12.5940603978924,3.1346478065831,4867.29641488443,1.6420846492808,2020-06-06,577.484293119246
68,18803307.7110122,603.524632336578,1794.27065493178,1423.63097412374,13.4448952923992,3.34974255009764,5245.00578634959,1.79980984414683,2020-06-07,620.319270179075
69,18802659.1061251,648.604887038587,1930.22678290578,1529.52802588908,14.374668664138,3.57937019696877,5650.42909576122,1.9688067131554,2020-06-08,666.558925899693
70,18801961.9588124,697.147312726217,2075.88072853599,1644.01338515119,15.3894861332004,3.82550231824585,6085.9951519606,2.14980875732255,2020-06-09,716.362301177663
71,18801212.6039755,749.354836877351,2232.12678523852,1767.4040548131,16.4940874026268,4.09016180398602,6554.1501603574,2.34365011827562,2020-06-10,769.939086083964
72,18800407.1365729,805.467402608365,2399.84367714099,1900.18197792457,17.6929720373475,4.37535038249268,7057.43105643947,2.55126841740626,2020-06-11,827.535725028206
73,18799512.5238584,894.612714505831,2608.78676892087,2042.94246355773,18.9909558490086,4.68304004839359,7598.51208462686,2.77370384523719,2020-06-12,918.286710403233
74,18798545.0019955,967.521862919266,2830.94098283166,2204.61226525173,20.3934326814577,5.0151925329909,8180.23690865595,3.01209781358081,2020-06-13,992.930488133714
75,18797497.9338594,1047.06813606526,3069.16883727904,2383.56332759637,21.9313018376121,5.37378892048147,8807.97406758497,3.26769261415867,2020-06-14,1074.37322682336
76,18796364.4356898,1133.49816959425,3325.76162391666,2579.45061627302,23.6228292061439,5.76206112732985,9486.63822230577,3.54183259796124,2020-06-15,1162.88305992773
77,18795137.2304511,1227.20523871832,3602.74925485144,2792.68233295586,25.4806674045766,6.18372484600975,10221.0504155739,3.83602851346351,2020-06-16,1258.86963096891
78,18793808.5471894,1328.68326171456,3902.07558557909,3024.13002515748,27.5155269432635,6.64264779435673,11016.1499178886,4.15198249701781,2020-06-17,1362.84143645218
79,18792370.0444763,1438.50271309092,4225.69955881825,3274.97161410021,29.7380575631749,7.14273694919845,11877.1248354844,4.49159603546137,2020-06-18,1475.38350760329
80,18790846.2360462,1523.80843011949,4542.16525663947,3546.60817000557,32.1597871383526,7.68793087767844,12809.4987122784,4.85697213066571,2020-06-19,1563.65614813552
81,18789203.5120434,1642.72400282873,4887.12775627344,3831.05305218541,34.793575611474,8.28223848755343,13819.1937922831,5.25041705794748,2020-06-20,1685.79981692775
82,18787433.6011507,1769.91089264526,5260.71643144425,4132.78868222659,37.6250296709309,8.92979496848471,14909.877342131,5.67444410290917,2020-06-21,1816.46571728467
83,18785527.3148336,1906.28631711469,5663.94090950038,4455.0537537539,40.6568452512814,9.63352731917162,16086.4812256706,6.13178016356418,2020-06-22,1956.57668968514
84,18783474.6242184,2052.69061518462,6098.36269178091,4800.45008431258,43.9007942625347,10.3961326074779,17354.8536500207,6.62530385930226,2020-06-23,2106.98754205464
85,18781264.6806534,2209.94356502187,6565.91691455156,5171.28225824579,47.3735410552557,11.2205463468376,18721.580927828,7.15803383794348,2020-06-24,2268.53765242396
86,18778885.803843,2378.87681035295,7068.81746172809,5569.74930330305,51.0945269720921,12.1101500333082,20193.9044490571,7.7331411246517,2020-06-25,2442.08148735835
87,18776353.5865139,2532.2173291348,7581.37265692091,5998.05449185279,55.0849606529844,13.068850519909,21779.6914292718,8.35397213465718,2020-06-26,2600.37114030769
88,18773634.2051941,2719.38131982075,8134.64750116958,6450.43111089606,59.3673912656441,14.1011007588361,23487.4365013046,9.02407577910691,2020-06-27,2792.84981184523
89,18770714.9539622,2919.25123191901,8729.71373043024,6931.63579431256,63.9413830525622,15.2118974552714,25324.0088761815,9.74723166076186,2020-06-28,2998.40451242685
90,18767582.0002284,3132.95373371588,9368.46353867185,7445.37234800278,68.8209415941817,16.4056006921389,27297.6227396679,10.5274781798795,2020-06-29,3218.1802760022
91,18764220.437126,3361.56310242925,10053.3227702324,7994.82697445768,74.0277367340888,17.68671403958,29417.5424737405,11.3690800337108,2020-06-30,3453.27755320292
92,18760614.2866141,3606.15051192345,10787.0953449314,8582.96863098147,79.5876310284106,19.0602391480041,31693.9378792588,12.2765358133642,2020-07-01,3704.79838209986
93,18756746.4742082,3867.81240590241,11572.8805063428,9212.71912131119,85.5289803399948,20.5318180942623,34137.823637124,13.2546038515675,2020-07-02,3973.87320433666
94,18752460.5307199,4285.94348830898,12552.2867038187,9887.05094628027,91.8818714319113,22.1077758413375,36761.046522574,14.3083354266065,2020-07-03,4399.93313558223
95,18747836.9578208,4623.5728991353,13589.4919697052,10648.546877767,98.6778448751894,23.795120687811,39576.3001312751,15.4431101978102,2020-07-04,4746.0458646983
96,18742846.6068558,4990.3509649244,14697.1309394025,11488.8169048753,106.068813703995,25.601531478467,42608.3231582519,16.6646717202968,2020-07-05,5122.02131010686
97,18737459.5838227,5387.0230331647,15884.9736999673,12405.4780585141,114.143488498029,27.5411160591304,45879.5135271941,17.9791623645453,2020-07-06,5528.70763772186
98,18731644.6167521,5814.96707057733,17161.3768517297,13399.619671352,122.961268988282,29.6305470127568,49411.6143295301,19.3934545617292,2020-07-07,5967.55888657837
99,18725368.6500467,6275.96670538049,18534.0930231413,14474.407438249,132.5700307295,31.8873240049025,53226.6897289562,20.9152834741812,2020-07-08,6440.42406011489
100,18718596.562842,6772.08720470068,20010.7250730776,15634.317606521,143.015262323799,34.3291161591931,57347.7096847386,22.5532904355857,2020-07-09,6949.43158318367
101,18711055.2898634,7541.27297857847,21834.6480250594,16884.7197410733,154.34461294693,36.9736301732558,61798.9199698811,24.3170327002527,2020-07-10,7732.59122169865
102,18702872.6330094,8182.65685400526,23778.8340085235,18298.9849664836,166.610047129231,39.8387160029874,66606.095141155,26.2169865451664,2020-07-11,8389.10561713748
103,18693990.6345782,8881.99843122124,25866.8798590869,19864.6561229178,180.07162857335,42.9425644812068,71815.7635660468,28.2645559545624,2020-07-12,9105.0126242758
104,18684349.3795597,9641.25501854796,28117.5977676481,21579.5771921096,194.886957212729,46.3137876283358,77470.9855193788,30.4720916310749,2020-07-13,9882.45576338903
105,18673885.8798285,10463.4997311499,30547.4981285792,23447.5830727029,211.167818962396,49.9851494294059,83614.2454472673,32.8534298173193,2020-07-14,10724.6526995417
106,18662533.3556553,11352.5241732481,33172.165684934,25476.1302335533,229.009689233678,53.9908328161886,90289.1366709711,35.4241084984952,2020-07-15,11635.524695298
107,18650220.7371192,12312.6185360588,36007.0225872482,27674.9975075752,248.50672363705,58.365482584988,97541.3820118803,38.2014431398002,2020-07-16,12619.4907422808
108,18637428.4739933,12792.263125937,38511.5649636837,30055.5761041481,269.759087460036,63.1440975813895,105419.490075667,41.2045534622674,2020-07-17,13125.1663109784
109,18623676.7279,13751.7460932181,41260.0067705603,32471.5729235742,292.87631370342,68.3622940794225,113975.212288263,44.4543850402964,2020-07-18,14112.9847010009
110,18608913.7825771,14762.9453229397,44234.3787186941,34982.5540252241,317.499714120698,74.0567012445132,123218.96739399,47.9737448865145,2020-07-19,15154.5017383049
111,18593080.1194788,15833.6630982953,47429.6478847241,37625.932511716,343.539844027603,80.2420241804112,133177.943773929,51.7873578785868,2020-07-20,16257.4449665033
112,18576110.3585666,16969.7609121585,50848.0808162673,40426.9940496623,371.042435459657,86.9269069806379,143889.889362488,55.9207377565422,2020-07-21,17427.7302545988
113,18557934.3115311,18176.0470355269,54496.1047469041,43404.4474145269,400.118060500263,94.1212869244715,155399.709957802,60.3998774834852,2020-07-22,18670.2863829516
114,18538477.5505435,19456.7609875764,58382.5500769376,46573.4923698037,430.906103095962,101.83940635794,167757.623055821,65.2513197009644,2020-07-23,19989.5064970303
115,18517661.7170134,20815.8335301568,62517.6549970029,49947.5088609302,463.556979214462,110.100695463607,181018.171946142,70.5023831210474,2020-07-24,21389.4912048349
116,18495404.6959529,22257.0210605089,66912.4888976488,53538.9791891139,498.22388790897,118.929680511532,195239.713832239,76.1814349605449,2020-07-25,22874.1746289294
117,18471620.7268654,23783.9690874786,71578.6039952528,57359.981966802,535.0593986703,128.355503409963,210484.166986596,82.3181591305981,2020-07-26,24447.3839895589
118,18446220.4918726,25400.2349928348,76527.8092547072,61422.4454075647,574.214375043357,138.411336564924,226816.89682868,88.9438001366523,2020-07-27,26112.8607044431
119,18419111.2051586,27109.2867140045,81772.0075883588,65738.2636539212,615.837924559198,149.133819825715,244306.673352733,96.0913773030639,2020-07-28,27874.2584583894
120,18390196.7186886,28914.4864699438,87323.0632954081,70319.3333540559,660.077704893023,160.562566655422,263025.661395154,103.795870477817,2020-07-29,29735.1267414922
121,18359377.6541966,30819.0644920268,93192.6811066546,75177.5419135862,707.080255955741,172.739748132394,283049.42127354,112.094380802232,2020-07-30,31698.884496115
122,18326551.5687724,32826.085424204,99392.2861880451,80324.7245453243,756.991204790391,185.709746212243,304456.906147933,121.026270570263,2020-07-31,33768.7863752066
123,18291613.1599768,34938.4087955757,105932.898901496,85772.5993058353,809.95527993728,199.51886127281,327330.447264156,130.633285754515,2020-08-01,35947.8829367858
124,18254454.515689,37158.6442877676,112825.000615712,91532.6849103555,866.116115392614,214.215057727042,351755.720823034,140.959663997329,2020-08-02,38238.9754608872
125,18214965.4135214,39489.1021676755,120078.38828952,97616.2036893981,925.61584365997,229.847732519847,377821.691568774,152.052230022018,2020-08-03,40644.5657438553
126,18173033.6744261,41931.7390952167,127702.016410566,104033.970724422,988.59448464188,246.467493169082,405620.528856684,163.960479628584,2020-08-04,43166.8010730277
127,18128545.5749559,44488.0994702593,135703.82544132,110796.269498654,1055.18913859908,264.125933976695,435247.491254079,176.736652741999,2020-08-05,45807.4145428351
